t_YB_isoTPS sz_YB_isoTPS_D_2 sz_YB_isoTPS_D_3 sz_YB_isoTPS_D_4 sz_YB_isoTPS_D_5 sz_YB_isoTPS_D_6
0.0 1.0 1.0 1.0 1.0 1.0 
0.02 0.9975702723011395 0.9968527161248506 0.9968355700136227 0.9968730359500866 0.9968188083461544 
0.04 0.9928482571946493 0.9875842308406572 0.9875334810219335 0.9876179671645217 0.9875078935624335 
0.06 0.9808343541679405 0.9730045310720332 0.9727877221415168 0.9729203299056289 0.9727489444937012 
0.08 0.9648237856530615 0.9543316836499078 0.9536851376354906 0.953831826499356 0.9536249336373765 
0.1 0.9486654617961819 0.9334496613710219 0.931543262936499 0.9316879043381207 0.9314957821947417 
0.12 0.9313198909690461 0.9118910103943393 0.9078415513344702 0.9080295739293079 0.9078508816194404 
0.14 0.9124730887582189 0.8914593822502033 0.8842137467122075 0.8843062233091696 0.8841807929111891 
0.16 0.8914905807125325 0.8733107581000559 0.8620252615433824 0.8619090302188819 0.8618972614339894 
0.18 0.8712040579091522 0.8581106730933238 0.8423751038872337 0.8419647569973109 0.8422088700131135 
0.2 0.8532069375135143 0.8462646198124477 0.826337622877578 0.8251892676399077 0.8259053549790755 
0.22 0.8385925101508146 0.8387781068314586 0.8145813027602571 0.8123284868172128 0.8143019634869252 
0.24 0.8281522563112445 0.8364032060282021 0.8068405607415999 0.8033255025894448 0.806439469114114 
0.26 0.8224319290319089 0.8359387910758413 0.8029588008388139 0.7984642346886142 0.8023085272115532 
0.28 0.8216139119912989 0.836648476434506 0.8032891900599467 0.7986714823786819 0.8016904497949983 
0.3 0.8254437043039761 0.8409924577987801 0.8077924905452057 0.802556781986553 0.8038294931788222 
0.32 0.8334170457947301 0.8491893369389625 0.816175248106464 0.8092492721734262 0.8087796388421566 
0.34 0.8449360267148575 0.8596080554784533 0.8282872297988113 0.8190581577217907 0.8154168674653262 
0.36 0.8605011752754248 0.8725669435422548 0.8442157001585654 0.8312545931020676 0.8231043345858394 
0.38 0.8772658926912899 0.8873243567649557 0.8603988296515468 0.8435902958361418 0.8328732324169316 
0.4 0.8939452167030082 0.902129158481181 0.8766102022802109 0.8569591845344425 0.8434508945692303 
